knowing,'nouiɳ,"hiểu biết, thạo","tính khôn, ranh mãnh, láu","(thông tục) diện, bảnh, sang"
conversation,",kɔnvə'seiʃn","sự nói chuyện; cuộc nói chuyện, cuộc chuyện trò, cuộc đàm luận",(pháp lý) sự giao cấu; sự giao hợp,
beach,bi:tʃ,sỏi cát (ở bãi biển),bãi biển,cho (tàu thuyền) lên cạn
sit,sit,ngồi,đậu (chim),ấp (gà mái)
song,sɔɳ,tiếng hát; tiếng hót,"bài hát, điệu hát",thơ ca
gift,gift,"sự ban cho, sự cho, sự tặng","quà tặng, quà biếu","tài, thiên tài, năng khiếu"
afternoon,'ɑ:ftə'nu:n,buổi chiều,,
factory,'fæktəri,"nhà máy, xí nghiệp, xưởng",(sử học) đại lý ở nước ngoài (của một số hãng buôn),
visit,'vizit,"sự đi thăm, sự thăm hỏi, sự thăm viếng",sự tham quan; thời gian ở lại thăm,"(từ Mỹ,nghĩa Mỹ),  (thông tục) cuộc truyện trò thân mật (lúc đến thăm nhau)"
spot,spɔt,"dấu, đốm, vết","vết nhơ, vết đen",chấm đen ở đầu bàn bi-a
neck,nek,"cổ (người, súc vật; chai, lọ)",thịt cổ (cừu),"chỗ thắt lại, chỗ hẹp lại (của một cái gì)"
pollution,pə'lu:ʃn,"sự làm ô uế, sự làm mất thiêng liêng",sự làm nhơ bẩn (nước...),"sự làm hư hỏng, sự làm sa đoạ"
grew,grou,"mọc, mọc lên (cây cối); mọc mầm, đâm chồi nẩy nở","lớn, lớn lên (người)","phát triển, tăng lên, lớn thêm"
trip,trip,"cuộc đi chơi, cuộc dạo chơi, cuộc du ngoạn","(hàng hải) chuyến đi, cuộc hành trình, sự vượt biển",bước nhẹ
newspaper,"'nju:z,peipə",báo,,
strange,streindʤ,"lạ, xa lạ, không quen biết","kỳ lạ, kỳ dị, kỳ quặc","mới, chưa quen"
dinner,'dinə,"bữa cơm (trưa, chiều)","tiệc, tiệc chiêu đãi",
sweet,swi:t,ngọt,ngọt (nước),thơm
clean,kli:n,"sạch, sạch sẽ",(nghĩa bóng) trong sạch không tội lỗi,"không lỗi, dễ đọc (bản in)"
coffee,'kɔfi,cà phê,bột cà phê,hột cà phê rang
interview,'intəvju:,"sự gặp gỡ, sự gặp mặt; cuộc nói chuyện riêng",cuộc phỏng vấn; bài phỏng vấn,"gặp riêng, nói chuyện riêng"
spend,spend,"tiêu, tiêu pha","dùng (thì giờ...), tốn","qua, sống qua"
teeth,tu:θ,răng,răng (của các đồ vật),(xem) arm
payable,'peiəbl,"có thể trả, phải trả",có lợi,
thanks,'θæɳks,"lời cảm ơn, sự cảm ơn",nhờ có,
elementary,",eli'mentəri","cơ bản, sơ yếu",(hoá học) không phân tách được,trường cấp hai
feed,fi:d,"sự ăn, sự cho ăn","cỏ, đồng cỏ","suất lúa mạch, suất cỏ khô (cho ngựa)"
partner,'pɑ:tnə,người cùng chung phần; người cùng canh ty,"hội viên (của một công ty, một minh ước quốc tế)",bạn cùng phe (trong một trò chơi)
cup,kʌp,"tách, chén","(thể dục,thể thao) cúp, giải",(thực vật học) đài (hoa)
break,breik,xe vực ngựa (tập cho ngựa kéo xe),xe ngựa không mui,"sự gãy, sự kéo, sự đứt, sự ngắt"
truck,trʌk,"sự trao đổi, sự đổi chác","đồ linh tinh, hàng vặt","(nghĩa bóng) chuyện nhảm, chuyện tầm bậy"
bright,brait,"sáng, sáng chói",tươi,"sáng sủa; rạng rỡ, sáng ngời; rực rỡ"
loved,,thân ái; yêu quý,,
rain,rein,mưa,(the rains) mùa mưa,(the Rains) (hàng hải) vùng mưa ở Đại tây dương (4 10 o độ vĩ bắc)
begun,bi'gin,"bắt đầu, mở đầu, khởi đầu",bắt đầu nói,bắt đầu từ
fast,fɑ:st,chắc chắn,"thân, thân thiết, keo sơn","bền, không phai"
bought,bai,mua,"(nghĩa bóng) trã bằng giá; đạt được, được (cái gì bằng một sự hy sinh nào đó)","mua chuộc, đút lót, hối lộ (ai)"
kitchen,,"phòng bếp, nhà bếp",,
enjoy,in'dʤɔi,"thích thú, khoái (cái gì)","được hưởng, được, có được",
row,rou,"hàng, dây",dãy nhà phố,hàng ghế (trong rạp hát...)
dollar,'dɔlə,đồng đô la (Mỹ),"(từ lóng) đồng 5 silinh, đồng curon","thần đô la, thần tiền"
bird,bə:d,con chim,"(thông tục) gã, thằng cha",(từ lóng) cô gái
sky,skai,"trời, bầu trời","cõi tiên, thiêng đường","khí hậu, thời tiết"
quiet,'kwaiət,"lặng, yên lặng, yên tĩnh",trầm lặng,nhã (màu sắc)
walk,wɔ:k,sự đi bộ; sự bước,sự dạo chơi,"cách đi, cách bước, dáng đi"
fishing,'fiʃiɳ,"sự đánh cá, sự câu cá",nghề cá,
smile,smail,nụ cười; vẻ mặt tươi cười,"mỉm cười, cười tủm tỉm; cười",cười để xua tan
bus,bʌs,xe buýt,(từ lóng) máy bay; ô tô; mô tô,nhỡ xe buýt
hole,'houl,"lỗ, lỗ thủng; lỗ trống; lỗ khoan",lỗ đáo; lỗ đặt bóng (trong một số trò chơi),"chỗ sâu, chỗ trũng (ở dòng suối); hố"
afraid,ə'freid,"sợ, hãi, hoảng, hoảng sợ",,
grass,grɑ:s,cỏ,"bâi cỏ, đồng cỏ","bãi cỏ, thảm cỏ (ở công viên)"
internet,,Một hệ thống các mạng máy tính được liên kết với nhau trên phạm vi toàn thế giới,,
theatre,'θiətə,"rạp hát, nhà hát",nghệ thuật sân khấu; phép soạn kịch,"sân khấu, nghề ca kịch, nghề diễn kịch"
younger,'jʌɳgə,út,em,
driver,'draivə,"người lái (ô tô, xe điện...), người đánh xe (xe ngựa, xe bò...), người dắt (trâu bò...)","(thể dục,thể thao) cái bạt (đánh gôn)","(kỹ thuật) dụng cụ để đóng, máy đóng"
glad,glæd,"vui lòng, sung sướng, vui mừng, vui vẻ, hân hoan","(từ lóng) nhìn ai âu yếm, liếc mắt đưa tình; nhìn ai hân hoan",tiếp đón ai niềm nở
clothes,klouðz,quần áo,quần áo bẩn (để đem giặt),
fill,fil,cái làm đầy; cái đủ để nhồi đầy,sự no nê,"(từ Mỹ,nghĩa Mỹ),  (ngành đường sắt) nền đường"
nice,nais,"(thông tục) thú vị, dễ chịu; tốt, hấp dẫn",xinh đẹp,"ngoan; tốt, tử tế, chu đáo"
leaf,li:f,"lá cây; lá (vàng, bạc...)",tờ (giấy),tấm đôi (tấm ván ở mặt bàn có thể bỏ đi hoặc lắp vào chỗ cho bàn to thêm)
this,ðis,này,"cái này, điều này, việc này",thế này
shoulder,'ʃouldə,vai,"vai núi, vai chai, vai áo...",miếng thịt vai (thịt lợn...)
teach,ti:tʃ,"dạy, dạy học; dạy bảo, dạy dỗ",,
kill,kil,"giết, giết chết, làm chết, diệt ((nghĩa đen) & (nghĩa bóng))","ngả, giết làm thịt (một con bò...)","tắt (máy...); làm át, làm lấp (tiếng...)"
colour,'kʌlə,"màu, sắc, màu sắc","(số nhiều) thuốc vẽ, thuốc màu",nghệ thuật vẽ màu
healthy,'helθi,khoẻ mạnh,có lợi cho sức khoẻ,lành mạnh
sick,sik,"ốm, đau; ốm yếu; (từ Mỹ,nghĩa Mỹ) khó ở, thấy kinh",buồn nôn,"(hàng hải) cần sửa lại, cần chữa lại"
skill,skil,"sự khéo léo, sự khéo tay, sự tinh xảo; kỹ năng, kỹ xảo","(từ cổ,nghĩa cổ) đáng kể, thành vấn đề",
ear,iə,tai,"vật hình tai (quai, bình đựng nước...)","tai (bông), sự nghe, khả năng nghe"
wheel,wi:l,bánh (xe) ((nghĩa đen) & (nghĩa bóng)),(số nhiều) hệ thống bánh xe (của máy...),xe hình (để buộc tội nhân vào mà đánh)
imagine,i'mædʤin,"tưởng tượng, hình dung","tưởng rằng, nghĩ rằng, cho rằng",đoán được
dream,dri:m,"giấc mơ, giấc mộng","sự mơ mộng, sự mơ màng, sự mộng tưởng","điều mơ tưởng, điều mơ ước; điều kỳ ảo như trong giấc mơ"
listen,'lisn,"nghe, lắng nghe","nghe theo, tuân theo, vâng lời",nghe đài
pool,pu:l,vũng,ao; bể bơi (bơi),vực (chỗ nước sâu và lặng ở con sông)
telling,'teliɳ,"mạnh, có hiệu quả, đích đáng, đanh thép",,
fat,fæt,được vỗ béo (để giết thịt),"béo, mập, béo phì, mũm mĩm","béo, đậm nét (chữ in)"
forget,fə'get,"quên, không nhớ đến","coi thường, coi nhẹ",quên
expensive,iks'pensiv,đắt tiền,"(từ Mỹ,nghĩa Mỹ) xa hoa",
poem,'pouim,bài thơ,"(nghĩa bóng) vật đẹp như bài thơ, cái nên thơ",
ideal,ai'diəl,"(thuộc) quan niệm, (thuộc) tư tưởng","chỉ có trong ý nghĩ, chỉ có trong trí tưởng tượng, tưởng tượng",lý tưởng
painting,'peintiɳ,sự sơn,hội hoạ,"bức vẽ, bức tranh"
moon,mu:n,mặt trăng,ánh trăng,(thơ ca) tháng
and,"ænd, ənd, ən","và, cùng, với","nếu dường như, tuồng như là",còn
suggestion,sə'dʤestʃn,sự gợi ý,ý kiến (lý thuyết...) đề nghị,"sự khêu gợi, sự gợi những ý nghĩa tà dâm"
sorry,'sɔri,"lấy làm buồn, lấy làm tiếc, lấy làm phiền","đáng buồn, xấu, tồi tàn, thiểu não",
sheep,ʃi:p,con cừu,((thường) số nhiều & mỉa) con chiên,da cừu
below,bi'lou,"ở dưới, ở bên dưới, ở dưới thấp, ở phía dưới","dưới, ở dưới, thấp hơn",không xứng đáng; không đáng phải quan tâm
dance,dɑ:ns,sự nhảy múa; sự khiêu vũ,bài nhạc nhảy; điệu nhạc khiêu vũ,buổi liên hoan khiêu vũ
cloth,klɔθ,vải,khăn; khăn lau; khăn trải (bàn),áo thầy tu
topic,'tɔpik,"đề tài, chủ đề",,
watching,,sự canh phòng; sự theo dõi; sự trông coi,,
nurse,nə:s,(động vật học) cá nhám,"vú em, người bảo mẫu, người giữ trẻ","sự nuôi, sự cho bú, sự trông nom; sự được nuôi, sự được cho bú"
guy,gai,"dây, xích","buộc bằng dây, xích lại",bù nhìn; ngáo ộp
leg,leg,"chân, cẳng (người, thú...)",chân (bàn ghế...),"ống (quần, giày...)"
watch,wɔtʃ,đồng hồ quả quít; đồng hồ đeo tay,"sự canh gác, sự canh phòng","người canh gác, người canh phòng; người gác, người trực"
wonderful,'wʌndəful,"kỳ lạ, phi thường; kỳ diệu, thần kỳ",,
med,,thạc sĩ sư phạm (Master of Education),,
video,'vidiou,"(từ Mỹ,nghĩa Mỹ) (thuộc) truyền hình; dùng trong truyền hình","(từ Mỹ,nghĩa Mỹ) truyền hình",
bread,bred,làm thủng,"(quân sự) chọc thủng, phá vỡ (tuyến phòng thủ)",nhảy lên khỏi mặt nước (cá voi)
win,win,sự thắng cuộc,"chiếm, đoạt, thu được, nhận được, kiếm được, có được",thắng cuộc; thắng
touch,tʌtʃ,"sự sờ, sự mó, sự đụng, sự chạm",xúc giác,"nét (vẽ); ngón (đàn); bút pháp, văn phong"
bag,bæg,"bao, túi, bị, xắc",mẻ săn,"(động vật học) túi, bọng, bọc"
tall,tɔ:l,cao,"(từ lóng) phóng đại, không thật, khó tin, khoác lác, ngoa","ngoa, khoác lác, khoe khoang"
meal,'mi:l,bột ((thường) xay chưa mịn),lượng sữa vắt (vắt một lần ở bò sữa),bữa ăn
spoken,spi:k,nói,"nói với, nói chuyện, nói lên","phát biểu, diễn thuyết, đọc diễn văn (ở hội nghị)"
busy,'bizi,"bận rộn, bận; có lắm việc","náo nhiệt, đông đúc","đang bận, đang có người dùng (dây nói)"
camera,'kæmərə,máy ảnh,máy quay phim,(pháp lý) phòng riêng của quan toà
cook,kuk,"người nấu ăn, người làm bếp, cấp dưỡng, anh nuôi",(tục ngữ) lắm thầy thối ma,"nấu, nấu chín"
cream,kri:m,kem (lấy từ sữa),"kem (que, cốc)",kem (để bôi)
moments,,(Econ) Mô men,,
gray,grei,(màu) xám,hoa râm (tóc),"xanh xao, nhợt nhạt, xanh mét (nước da)"
egg,eg,trứng,"(quân sự), lóng bom; mìn; ngư lôi","chật ních, chật như nêm"
everywhere,'evriweə,"ở mọi nơi, khắp nơi, khắp chốn",,
off,ɔ:f,tắt,"đi, đi rồi","ra khỏi, đứt, rời"
tower,'tauə,tháp,"đồn luỹ, pháo đài",là người có đủ sức để bảo vệ cho ai
four,fɔ:,bốn,số bốn,"bộ bốn (người, vật...)"
solve,sɔlv,giải quyết (một vấn đề),(toán học) giải (một phương trình),"(từ cổ,nghĩa cổ) tháo gỡ (nút...)"
nose,nouz,mũi (người); mõm (súc vật),khứu giác; sự đánh hơi,"mùi, hương vị"
five,faiv,năm,số năm,bộ năm
dress,dres,quần áo,"vỏ ngoài, cái bọc ngoài, vẻ ngoài","mặc (quần áo...), ăn mặc"
selling,,sự bán hàng,,
fever,'fi:və,cơn sốt,bệnh sốt,"sự xúc động, sự bồn chồn"
yard,jɑ:d,"Iat, thước Anh (bằng 0, 914 mét)",(hàng hải) trục căng buồm,sân (có rào xung quanh)
uncle,'ʌɳkl,chú; bác; cậu; dượng,bác (tiếng xưng với người có tuổi),(thông tục) người có hiệu cầm đồ
pocket,'pɔkit,túi (quần áo),bao (75 kg),"(nghĩa bóng) tiền, túi tiền"
collect,kə'lekt,tập hợp lại,"(thông tục) đến lấy, đi lấy, thu lượm, thu thập, góp nhặt, sưu tầm",tập trung (tư tưởng...)
introduce,",intrə'dju:s",giới thiệu,"bước đầu làm quen cho, khai tâm cho, vỡ lòng cho",mở đầu
desk,desk,"bàn học sinh, bàn viết, bàn làm việc","(the desk) công việc văn phòng, công tác văn thư; nghiệp bút nghiên","(từ Mỹ,nghĩa Mỹ) giá để kinh; giá để bản nhạc (ở nhà thờ); bục giảng kinh"
everybody,'evribɔdi,"mọi người, tất cả mọi người, ai ai; mỗi người",,
airport,,"sân bay, phi trường",,
classroom,,phòng đọc,,
cap,kæp,"mũ lưỡi trai, mũ vải (y tá cấp dưỡng...); mũ (công nhân, giáo sư, quan toà, lính thuỷ...)","nắp, mũ (chai, van, bút máy...); đầu (đạn...); tai (nấm...)","mỏm, chỏm, chóp, đỉnh"
surprise,sə'praiz,sự ngạc nhiên,"sự bất ngờ, sự bất thình lình","điều làm ngạc nhiên, thú không ngờ"
pick,pik,"sự chọn lọc, sự chọn lựa","người được chọn, cái được chọn","phần chọn lọc, phần tinh hoa, phần tốt nhất"
butter,'bʌtə,bơ,"lời nịnh hót; sự bợ đỡ, sự nịnh nọt đê tiện",làm ra bộ đoan trang; màu mè
photo,'foutou,(viết tắt) của photograph,,
wearing,,làm cho mệt mỏi,,
drama,'drɑ:mə,kịch; tuồng (cổ),(the drama) nghệ thuật kịch; nghệ thuật tuồng,sự việc có tính kịch
dad,dæd,"(thông tục) ba, cha, bố, thầy",,
bath,bɑ:θ,sự tắm,"chậu tắm, bồn tắm, nhà tắm",(số nhiều) nhà tắm có bể bơi
hurt,hə:t,"vết thương, chỗ bị đau","điều hại, tai hại","sự chạm đến, sự xúc phạm, sự làm tổn thương"
coat,kout,"áo choàng ngoài, áo bành tô (đàn ông)","áo choàng (phụ nữ); (từ cổ,nghĩa cổ) váy",bộ lông (thú)
township,'taunʃip,"quận, huyện (từ Mỹ,nghĩa Mỹ),  Ca-na-đa",khu da đen (Nam phi),
flower,flower,"hoa, bông hoa, đoá hoa",cây hoa,(số nhiều) lời lẽ văn hoa
guess,ges,"sự đoán, sự ước chừng","đoán, phỏng đoán, ước chừng","(từ Mỹ,nghĩa Mỹ),  (thông tục) nghĩ, chắc rằng"
fun,fʌn,"sự vui đùa, sự vui thích; trò vui đùa",mạnh mẽ; rất nhanh,nhiều lần
ladies,'leidiz,nơi vệ sinh n,,
catch,kætʃ,"sự bắt, sự nắm lấy; cái bắt, cái vồ, cái chộp",sự đánh cá; mẻ cá,"nhiều người bị bắt, vật bị túm được; mồi ngon đáng để bẫy; món bở"
forgotten,fə'get,"quên, không nhớ đến","coi thường, coi nhẹ",quên
bottle,'bɔtl,"chai, lọ",bầu sữa (cho trẻ em bú) ((cũng) feeding),rượu; thói uống rượu
yesterday,'jestədi,hôm qua,,
closer,,xem close,,
lesson,'lesn,bài học,"lời dạy bảo, lời khuyên","lời quở trách; sự trừng phạt, sự cảnh cáo"
cloud,klaud,"mây, đám mây","đám (khói, bụi)","đàn, đoàn, bầy (ruồi, muỗi đang bay, ngựa đang phi...)"
habit,'hæbit,"thói quen, tập quán","thể chất, tạng người; vóc người","tính khí, tính tình"
lunch,lʌntʃ,bữa ăn trưa,bữa ăn nhẹ trước cơm trưa,dọn bữa ăn trưa cho
along,ə'lɔɳ,"theo chiều dài, suốt theo","tiến lên, về phía trước","(thông tục) vì, do bởi"
rat,ræt,(động vật học) con chuột,(chính trị) kẻ phản bội; kẻ phản đảng; kẻ bỏ đảng trong lúc khó khăn,"công nhân không chịu tham gia đình công, người chiếm chỗ làm của công nhân đình công; người chịu nhận tiền lương ít hơn của công đoàn yêu sách"
wear,weə,sự mang; sự dùng; sự mặc,quần áo; giầy dép,"sự chịu mòn, sự mặc được, sự dùng được"
terrible,'terəbl,"dễ sợ, ghê gớm, khủng khiếp","(thông tục) quá chừng, thậm tệ",
smoke,smouk,khói,hơi thuốc,"(từ lóng) điếu thuốc lá, điếu xì gà"
flying,flying,sự bay,chuyến bay,bay
cool,ku:l,"mát mẻ, mát; hơi lạnh, nguội","trầm tĩnh, điềm tĩnh, bình tĩnh","lãn đạm, nhạt nhẽo, thờ ơ, không sốt sắng, không nhiệt tình, không mặn mà, không đằm thắm"
restaurant,'restərʤ:ɳ,"quán ăn, tiệm ăn",,
strict,strikt,"chính xác, đúng","nghiêm ngặt, nghiêm khắc; nghiêm chỉnh","hoàn toàn, thật sự"
arrive,ə'raiv,"(+ at,  in) đến, tới nơi; xảy đến","đi đến, đạt tới",thành đạt
mice,maus - mauz,mauz/,(động vật học) chuột,"(từ lóng) mắt sưng húp, mắt thâm tím"
angry,'æɳgri,"giận, tức giận, cáu","nhức nhối, viêm tấy (vết thương)","hung dữ, dữ"
dear,diə,"thân, thân yêu, thân mến, yêu quý","kính thưa, thưa; thân mến (viết trong thư)","đáng yêu, đáng mến"
drinking,,sự uống rượu,,
reasoning,'ri:zniɳ,"lý luận, lập luận, lý lẽ","sự tranh luận, sự cãi lý","có lý trí, biết suy luận"
chose,tʃu:z,"chọn, lựa chọn, kén chọn",thách muốn,"(từ cổ,nghĩa cổ) không còn cách nào khác hơn là"
apple,'æpl,quả táo,(xem) Adam,mối bất hoà
inherent,in'hiərənt,"vốn có, cố hữu","vốn thuộc về, vốn gắn liền với",
drink,driɳk,"đồ uống, thức uống",rượu mạnh ((cũng) strong drink),"hớp, ngụm; cốc, ly (rượu, nước giải khát)"
yes,jes,"vâng, phải, dạ, được, ừ, có, có chứ","tiếng vâng dạ, tiếng ừ phải",
sport,spɔ:t,thể thao,"sự giải trí; sự chơi đùa, sự nô đùa; trò đùa, trò cười, trò trớ trêu","cuộc giải trí, cuộc vui chơi ngoài trời (đi săn, đi câu...)"
listening,'lisniɳ,sự nghe,,
visiting,'vizitiɳ,"sự thăm hỏi, sự thăm viếng","đang thăm, thăm viếng",
breakfast,'brekfəst,"bữa ăn sáng, bữa điểm tâm","ăn sáng, điểm tâm",mời (ai) ăn điểm tâm
cheese,tʃi:z,"phó mát, bánh phó mát",vật đóng bánh (như phó mát),sữa trớ ra (trẻ con)
flag,'flæg,(thực vật học) cây irit,phiến đá lát đường ((cũng) flag stone),(số nhiều) mặt đường lát bằng đá phiến
player,'pleiə,"(thể dục,thể thao) cầu thủ, đấu thủ",nhạc sĩ (biểu diễn),(sân khấu) diễn viên
because,bi'kɔz,"vì, bởi vì","vì, do bởi",
button,'bʌtn,"cái khuy, cái cúc (áo)","cái nút, cái núm, cái bấm (chuông điện...)",nụ hoa; búp mầm (chưa nở)
orange,'ɔrindʤ,quả cam,cây cam,màu da cam
renewal,ri'nju:əl,"sự phụ hồi, sự khôi phục, sự tái sinh","sự thay mới, sự đổi mới","sự làm lại, sự nối lại, sự nhắc lại, sự tiếp tục lại"
theater,'θiətə,"(từ Mỹ,nghĩa Mỹ) (như) thetre",,
justification,",dʤʌstifi'keiʃn","sự bào chữa, sự biện hộ, sự chứng minh là đúng; lý lẽ bào chữa",(ngành in) sự sắp chữ cho đúng hàng đúng chỗ,
mom,mə'mɑ:,uây khyếm mẹ,"(từ Mỹ,nghĩa Mỹ),  (từ lóng) gái nạ giòng mà vẫn còn xuân",(giải phẫu) v
sixth,siksθ,thứ sáu,một phần sáu,người thứ sáu; vật thứ sáu; ngày mồng sáu
underlying,",ʌndə'laiiɳ","nằm dưới, dưới","(nghĩa bóng) cơ bản, cơ sở",
grey,grei,(màu) xám,hoa râm (tóc),"xanh xao, nhợt nhạt, xanh mét (nước da)"
clock,klɔk,đường chỉ viền ở cạnh bít tất,đồng hồ,giờ
periodic,",piəri'ɔdik",(thuộc) chu kỳ,"định kỳ, thường kỳ",tuần hoàn
movie,'mu:vi,phim xi nê,rạp chiếu bóng,(số nhiều) ngành phim ảnh; nghệ thuật phim xi nê
paint,peint,sơn,thuốc màu,phấn (bôi má)
pen,pen,bút lông chim (ngỗng),"bút, ngòi bút","(nghĩa bóng) nghề cầm bút, nghề viết văn; bút pháp, văn phong"
knife,naif,con dao,(y học) dao mổ,"(kỹ thuật) dao cắt gọt, dao nạo"
mouse,maus - mauz,mauz/,(động vật học) chuột,"(từ lóng) mắt sưng húp, mắt thâm tím"
jet,dʤet,bằng huyền,"đen nhánh, đen hạt huyền ((cũng) jet black)",huyền
holiday,'hɔlədi,"ngày lễ, ngày nghỉ","(số nhiều) kỳ nghỉ (hè, đông...)","(định ngữ) (thuộc) ngày lễ, (thuộc) ngày nghỉ"
tenant,'tenənt,"người thuê mướn (nhà, đất...)",tá điền,"người ở, người chiếm cứ"
tight,tait,"kín, không thấm, không rỉ","chặt, khít","chật, bó sát"
vegetable,'vedʤitəbl,(thực vật học) (thuộc) thực vật,(thuộc) rau,rau
delegation,",deli'geiʃn","phái đoàn, đoàn đại biểu",sự cử đại biểu,"sự uỷ quyền, sự uỷ thác"
congressional,kɔɳ'greʃənl,"(thuộc) đại hội, (thuộc) hội nghị","(Congressional) (thuộc) quốc hội (Mỹ,  Phi-líp-pin,  Châu mỹ la-tinh trừ Cu-ba)",
wore,weə,sự mang; sự dùng; sự mặc,quần áo; giầy dép,"sự chịu mòn, sự mặc được, sự dùng được"
warrant,'wɔrənt,sự cho phép; giấy phép,"lý do, lý do xác đáng (của việc làm, báo cáo...)",sự bảo đảm (cho việc gì)
beef,bi:f,thịt bò,(thường) số nhiều bò thịt (để giết ăn thịt),"sức mạnh, thể lực; bắp thịt (người)"
shirt,ʃə:t,áo sơ mi,"(từ lóng) chọc tức ai, làm cho ai nổi giận",bắt ai làm đổ mồ hôi sôi nước mắt
aunt,ɑ:nt,"cô, dì, thím, mợ, bác gái","trời ơi!, thật à! (tỏ sự ngạc nhiên)",
anybody,"'eni,bɔdi",(thông tục) một người nào đó,"người nào, ai","bất kỳ ai, bất cứ ai"
cleaning,'kli:niɳ,"sự quét tước, sự dọn dẹp",,
pray,prei,"cầu, cầu nguyện","khẩn cầu, cầu xin","xin, xin mời (ngụ ý lễ phép)"
bowl,boul,cái bát,bát (đầy),"nõ (điếu, tẩu thuốc lá); long (thìa, môi)"
eating,'i:tiɳ,sự ăn,thức ăn,
turner,'tə:nə,thợ tiện,,
piano,'pjænou,(âm nhạc) pianô,(âm nhạc) nhẹ,
fly,fly,con ruồi,ruồi (làm mồi câu); ruồi giả (làm mồi câu cá),"(nông nghiệp) bệnh do ruồi, sâu bệnh"
our,'auə,"của chúng ta, của chúng tôi, của chúng mình",của trẫm (vua chúa...),thượng đế
everyday,'evridei,"hằng ngày, dùng hằng ngày","thường, thông thường, xảy ra hằng ngày",tầm thường
guest,gest,khách,khách trọ (ở khách sạn),vật ký sinh; trùng ký sinh; cây ký sinh
wives,waif,vợ,"(từ cổ,nghĩa cổ) người đàn bà; bà già",
dictionary,'dikʃənəri,từ điển,"(định ngữ) có tính chất từ điển, có tính chất sách vở",
submission,səb'miʃn,"sự trình, sự đệ trình","sự phục tùng, sự quy phục",(pháp lý) ý kiến trình toà (của luật sư)
washed,,"được rửa sạch, được tắm sạch",được giặt sạch,(nghĩa bóng) xanh xao; mệt mỏi; kiệt sức
gold,gould,vàng,tiền vàng,số tiền lớn; sự giàu có
reporter,ri'pɔ:tə,người báo cáo,phóng viên nhà báo,
festival,'festivəl,thuộc ngày hội,ngày hội; đại hội liên hoan; hội diễn,"đợt biểu diễn nhạc lớn, thường kỳ (ở các nơi nổi tiếng)"
tired,'taiəd,"mệt, mệt mỏi, nhọc",chán,
lovely,'lʌvli,"đẹp đẽ, xinh, đáng yêu, dễ thương, có duyên, yêu kiều","(thông tục) thú vị, vui thú, thích thú","(từ Mỹ,nghĩa Mỹ) đẹp (về mặt đạo đức)"
super,'sju:pə,(thông tục) thượng hảo hạng,"vuông, (đo) diện tích (đơn vị đo) (không phải đo bề dài hay đo thể tích) ((cũng) superficial)","(từ lóng) cừ, chiến"
juice,dʤu:s,"nước ép (của quả, thịt, rau)",dịch,"(nghĩa bóng) phần tinh hoa, phần tinh tuý (của cái gì)"
notable,'noutəbl,"có tiếng, trứ danh","đáng kể, đáng chú ý","(từ cổ,nghĩa cổ) tần tảo"
happening,'hæpniɳ,"sự việc xảy ra, chuyện xảy ra; biến cố",,
closing,'klouziɳ,"sự kết thúc, sự đóng","kết thúc, cuối cùng",
grammar,'græmə,(ngôn ngữ học) ngữ pháp,,
median,'mi:djən,"ở giữa, qua điểm giữa",(y học) động mạch giữa dây thần kinh,(toán học) trung tuyến
repeat,ri'pi:t,"(thông tục) sự nhắc lại, sự lặp lại; cái lặp lại",(sân khấu) tiết mục được biểu diễn lại (sau khi khản giả yêu cầu),(âm nhạc) phần chỉ lại; dấu chỉ phần trở lại
math,,toán,,
pink,piɳk,hồng,"(chính trị) hơi đỏ, khuynh tả, thân cộng",(thực vật học) cây cẩm chướng; hoa cẩm chướng
match,mætʃ,diêm,ngòi (châm súng hoả mai...),cuộc thi đấu
finish,'finiʃ,"sự kết thúc, sự kết liễu; phần cuối, phần kết thúc, đoạn kết thúc","sự sang sửa, cuối cùng, sự hoàn thiện","tích chất kỹ, tính chất trau chuốt"
quarterly,'kwɔ:təli,"hàng quý, ba tháng một lần",tạp chí xuất bản ba tháng một lần,
nights,,đêm tối,,
mapping,'mæpiɳ,"bản vẽ, bản đồ","sự sắp xếp, sự sắp đặt, sự vạch ra (chiến lược...)",(toán học) phép ánh xạ
football,'futbɔ:l,quả bóng đá,môn bóng đá,
fan,fæn,"người hâm mộ, người say mê",cái quạt,cái quạt lúa
seventh,'sevnθ,thứ bảy,(xem) heaven,một phần bảy
collecting,,(Tech) góp; sưu tầm (d),,
letting,,"tài sản (nhà, căn hộ) cho thuê",,
bedroom,'bedrum,buồng ngủ,,
subjective,səb'dʤektiv,chủ quan,(thông tục) tưởng tượng,(ngôn ngữ học) (thuộc) chủ cách
notably,'noutəbli,"đáng kể, đáng chú ý","đặc biệt, nhất là",
luck,lʌk,"vận, sự may rủi","vận may, vận đỏ",
brush,brʌʃ,bàn chải,sự chải,bút lông (vẽ)
coach,koutʃ,xe ngựa bốn bánh ((thường) bốn ngựa),(ngành đường sắt) toa hành khách,xe buýt chạy đường dài
characterization,",kæriktərai'zeiʃn","sự biểu thị đặc điểm, sự mô tả đặc điểm",sự truyền đặc tính cho (ai),sự xây dựng thành công nhân vật (trong một tiểu thuyết...)
actor,'æktə,"diễn viên (kịch, tuồng, chèo, điện ảnh...); kép, kép hát","(từ hiếm,nghĩa hiếm) người làm (một việc gì)",
